prompt_id,prompt_number,generation_prompt,category,disease_primary,age,sex,severity,label_pneumonia_or_opacity,label_cardiomegaly,label_pleural_effusion,label_pneumothorax,label_edema,label_atelectasis,label_support_device,label_chronic_lung_disease,model_key,generator_name,folder,model_version_or_identifier,generated_image_id,image_relpath,image_path,image_exists
P001,1,23-year-old female. PA frontal chest radiograph. Findings: No focal air-space opacity. No pleural effusion or pneumothorax. Normal cardiomediastinal silhouette. No support devices. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,23,female,,0,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P001_gemini,gemini/P001.png,gemini/P001.png,False
P001,1,23-year-old female. PA frontal chest radiograph. Findings: No focal air-space opacity. No pleural effusion or pneumothorax. Normal cardiomediastinal silhouette. No support devices. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,23,female,,0,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P001_sana,sana/P001.png,sana/P001.png,False
P001,1,23-year-old female. PA frontal chest radiograph. Findings: No focal air-space opacity. No pleural effusion or pneumothorax. Normal cardiomediastinal silhouette. No support devices. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,23,female,,0,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P001_gpt,gpt/P001.png,gpt/P001.png,False
P001,1,23-year-old female. PA frontal chest radiograph. Findings: No focal air-space opacity. No pleural effusion or pneumothorax. Normal cardiomediastinal silhouette. No support devices. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,23,female,,0,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P001_roentgen,roentgen/P001.png,roentgen/P001.png,False
P002,2,29-year-old male. PA frontal chest radiograph. Findings: Clear lungs. No pleural effusion or pneumothorax. Normal heart size. No support devices. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,29,male,,0,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P002_gemini,gemini/P002.png,gemini/P002.png,False
P002,2,29-year-old male. PA frontal chest radiograph. Findings: Clear lungs. No pleural effusion or pneumothorax. Normal heart size. No support devices. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,29,male,,0,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P002_sana,sana/P002.png,sana/P002.png,False
P002,2,29-year-old male. PA frontal chest radiograph. Findings: Clear lungs. No pleural effusion or pneumothorax. Normal heart size. No support devices. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,29,male,,0,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P002_gpt,gpt/P002.png,gpt/P002.png,False
P002,2,29-year-old male. PA frontal chest radiograph. Findings: Clear lungs. No pleural effusion or pneumothorax. Normal heart size. No support devices. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,29,male,,0,0,0,0,0,0,0,0,roentgen,RoentGen-v2,roentgen,RoentGen-v2,P002_roentgen,roentgen/P002.png,roentgen/P002.png,False
P003,3,34-year-old female. PA frontal chest radiograph. Findings: No acute cardiopulmonary abnormality. Cardiomediastinal silhouette is within normal size limits. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,34,female,,0,0,0,0,0,0,0,0,gemini,Nano Banana,gemini,gemini-2.5-flash-image / Nano Banana,P003_gemini,gemini/P003.png,gemini/P003.png,False
P003,3,34-year-old female. PA frontal chest radiograph. Findings: No acute cardiopulmonary abnormality. Cardiomediastinal silhouette is within normal size limits. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,34,female,,0,0,0,0,0,0,0,0,sana,Sana,sana,CheXGenBench Sana CXR generator,P003_sana,sana/P003.png,sana/P003.png,False
P003,3,34-year-old female. PA frontal chest radiograph. Findings: No acute cardiopulmonary abnormality. Cardiomediastinal silhouette is within normal size limits. Impression: No acute cardiopulmonary abnormality.,No acute / normal,No acute cardiopulmonary abnormality,34,female,,0,0,0,0,0,0,0,0,gpt,ChatGPT Images 2.0,gpt,ChatGPT Images 2.0,P003_gpt,gpt/P003.png,gpt/P003.png,False
